CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
07/07/2017,21:41:00,1A,1700 CARSWELL ST,HOMICIDE,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.593560495511,39.321524327062995,,STREET,,1
07/06/2017,23:55:00,1A,5500 REISTERSTOWN RD,HOMICIDE,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.690204869018,39.347568820100996,,STREET,,1
07/06/2017,21:12:23,1O,4300 PIMLICO RD,HOMICIDE,Outside,OTHER,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.664037217363,39.338988824413,,PARKING LOT,,1
07/05/2017,13:29:00,1A,5000 DENMORE AV,HOMICIDE,Inside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.675534598609,39.347225645137,,,Northwestern,1
07/05/2017,06:30:00,1A,2000 MC CULLOH ST,HOMICIDE,Outside,FIREARM,131.0,CENTRAL,DRUID HEIGHTS,-76.634696309399,39.308031820686004,,STREET,,1
07/05/2017,22:14:00,1A,2600 ROSELAWN AV,HOMICIDE,Inside,FIREARM,423.0,NORTHEAST,CHRISTOPHER,-76.563049837145,39.35835344842,,DWELLING,,1
07/05/2017,16:32:00,1A,1600 RUXTON AV,HOMICIDE,Outside,FIREARM,723.0,WESTERN,COPPIN HEIGHTS/ASHBU,-76.654968697627,39.306401953446,,STREET,Western,1
07/03/2017,04:50:00,1A,5300 READY AV,HOMICIDE,Outside,FIREARM,524.0,NORTHERN,WOODBOURNE MCCABE,-76.607901172514,39.353806517173,,STREET,,1
07/03/2017,23:27:00,1A,1600 Mc Culloh St,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.630826863943,39.304922887312,,STREET,,1
07/03/2017,20:09:00,1A,800 N CAREY ST,HOMICIDE,Inside,FIREARM,713.0,WESTERN,HARLEM PARK,-76.638696816346,39.297923825962,,COMMON BUSINESS,Central,1
07/02/2017,19:55:00,1A,1400 ARGYLE AV,HOMICIDE,Inside,FIREARM,123.0,CENTRAL,UPTON,-76.632659394508,39.300572339589,,DWELLING,Central,1
07/01/2017,01:13:00,1A,3300 GARRISON BLVD,HOMICIDE,Outside,FIREARM,621.0,NORTHWEST,CENTRAL FOREST PARK,-76.682666278459,39.326408679187004,,COMMON BUSINESS,,1
07/01/2017,00:00:00,1A,2700 E CHASE ST,HOMICIDE,Outside,FIREARM,333.0,EASTERN,BIDDLE STREET,-76.579703808304,39.303876473137,,STREET,Eastern 2,1
06/29/2017,13:47:00,1A,2200 CHRISTIAN ST,HOMICIDE,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.650962533482,39.281389217916,,STREET,Tri-District,1
06/29/2017,09:20:00,1A,600 N BENTALOU ST,HOMICIDE,Outside,FIREARM,721.0,WESTERN,CARROLLTON RIDGE,-76.653306661338,39.294892575803,,STREET,,1
